reportkey	Guardian incident url	lat	long	bundle	Guardian headline	dateoccurred	type	category	Guardian edited category	attackon	dcolor
EFB96152-D9D9-417C-B6F9-655E42AC94B7	http://www.guardian.co.uk/world/afghanistan/warlogs/EFB96152-D9D9-417C-B6F9-655E42AC94B7	33,13945007	69,97888184	289	Al-Qaida propaganda	09.04.2004 00:00	Non-Combat Event	Propaganda	Other	NEUTRAL	GREEN
777E7E76-2219-0B3F-9F46F193643C2BBA	http://www.guardian.co.uk/world/afghanistan/warlogs/777E7E76-2219-0B3F-9F46F193643C2BBA	0	0	157	Bin Laden instigates suicide attack against Afghan President Hamid Karzai, according to US report	01.09.2004 00:00	Threat Report	Crime	Other	ENEMY	RED
777FBEB7-2219-0B3F-9F0C59FFD93575CF	http://www.guardian.co.uk/world/afghanistan/warlogs/777FBEB7-2219-0B3F-9F0C59FFD93575CF	34,34500122	62,19971848	158	Iran smuggles money into Afghanistan to fund insurgents, says US report	07.02.2005 00:00	Threat Report	Crime	Other	ENEMY	RED
7789E8A5-2219-0B3F-9F3EEDB12EA56051	http://www.guardian.co.uk/world/afghanistan/warlogs/7789E8A5-2219-0B3F-9F3EEDB12EA56051	32,62638855	65,47028351	159	Iran offers reward  for each Afghan official and soldier killed, according to coalition report	19.02.2005 00:00	Threat Report	Attack Threat	Other	ENEMY	RED
4C9091F6-F653-4ED0-9F5C-C7B739115555	http://www.guardian.co.uk/world/afghanistan/warlogs/4C9091F6-F653-4ED0-9F5C-C7B739115555	33,99554825	69,10471344	91	Afghan troops shoot two civilians	22.02.2005 00:00	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
4A5BA4FA-C08A-4ED5-A626-798825D23015	http://www.guardian.co.uk/world/afghanistan/warlogs/4A5BA4FA-C08A-4ED5-A626-798825D23015	32,38249969	66,78555298	88	Police shoot-out with district tribal chief wounds three	11.03.2005 14:08	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
C9645294-D0ED-43F7-9669-01EA97BC072E	http://www.guardian.co.uk/world/afghanistan/warlogs/C9645294-D0ED-43F7-9669-01EA97BC072E	32,97304916	66,67584229	255	Local contractor suspected of killing rival workers	15.03.2005 06:45	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
4FCF3E0F-90C2-4067-93D7-B7CCC5E95D37	http://www.guardian.co.uk/world/afghanistan/warlogs/4FCF3E0F-90C2-4067-93D7-B7CCC5E95D37	32,89916992	65,54444122	99	Afghan boy caught in cross-fire of local feud.	19.03.2005 00:00	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
442A5A0D-F806-46C9-A3E3-4E60C89B3FC2	http://www.guardian.co.uk/world/afghanistan/warlogs/442A5A0D-F806-46C9-A3E3-4E60C89B3FC2	32,67943954	62,43555069	81	Local police fire on army troops at checkpoint	19.03.2005 06:25	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
2EA128F8-76FA-4793-9CD1-929D30161F45	http://www.guardian.co.uk/world/afghanistan/warlogs/2EA128F8-76FA-4793-9CD1-929D30161F45	33,60113907	69,22202301	59	Police wound four and kill one at unarmed demonstration	13.05.2005 10:03	Non-Combat Event	Demonstration	Demonstration/unrest	NEUTRAL	GREEN
EC1943F3-1587-46E7-814F-A7297F13EA25	http://www.guardian.co.uk/world/afghanistan/warlogs/EC1943F3-1587-46E7-814F-A7297F13EA25	34,86460114	70,95453644	285	Chinook fired on	28.06.2005 11:45	Enemy Action	Direct Fire	Other	ENEMY	RED
F667CA25-E312-4039-874B-B09AB7A06323	http://www.guardian.co.uk/world/afghanistan/warlogs/F667CA25-E312-4039-874B-B09AB7A06323	34,86380005	70,95910645	294	Special Forces Chinook crashes	28.06.2005 11:53	Enemy Action	Direct Fire	Other	ENEMY	RED
90AC8DE1-92C5-4478-880C-FF42D97B20F1	http://www.guardian.co.uk/world/afghanistan/warlogs/90AC8DE1-92C5-4478-880C-FF42D97B20F1	34,86460114	70,95453644	210	RPG fire on Apache helicopter	28.06.2005 12:30	Enemy Action	Direct Fire	Other	ENEMY	RED
C0C794F5-8C64-4242-AED3-48A6947881CE	http://www.guardian.co.uk/world/afghanistan/warlogs/C0C794F5-8C64-4242-AED3-48A6947881CE	31,53228951	66,17754364	244	Missile fired at Black Hawk helicopter	29.06.2005 11:05	Enemy Action	Other (Hostile Action)	Other	ENEMY	RED
479D4D95-E931-40A8-9808-6E769EFE673D	http://www.guardian.co.uk/world/afghanistan/warlogs/479D4D95-E931-40A8-9808-6E769EFE673D	32,84709167	69,09488678	85	Missile fired at aircraft	05.07.2005 04:14	Air Mission	Reconnaissance	Other	UNKNOWN	GREEN
6F60A85C-6D87-497E-A791-434948EFA0CC	http://www.guardian.co.uk/world/afghanistan/warlogs/6F60A85C-6D87-497E-A791-434948EFA0CC	33,32281113	69,74111938	136	Water-source dispute involves 250 armed tribesmen	06.08.2005 06:29	Friendly Fire	GREEN-GREEN	Demonstration/unrest	FRIEND	BLUE
0E6EEA4D-20A6-4E2A-8084-ECF583ACF6DF	http://www.guardian.co.uk/world/afghanistan/warlogs/0E6EEA4D-20A6-4E2A-8084-ECF583ACF6DF	33,03029633	69,50563812	25	Afghan troops threaten to attack Pakistani soldiers in dispute over flag	04.09.2005 14:28	Other	Planned Event	Other	NEUTRAL	GREEN
77BE60E5-2219-0B3F-9F4E8AB7A08D885D	http://www.guardian.co.uk/world/afghanistan/warlogs/77BE60E5-2219-0B3F-9F4E8AB7A08D885D	0	0	162	Taliban leader Mullah Omar orders anti-aircraft missiles Ð US claim	16.09.2005 00:00	Threat Report	SAFIRE Threat	Other	ENEMY	RED
3F666D72-A2DA-4BC4-A8A3-B644D93E066A	http://www.guardian.co.uk/world/afghanistan/warlogs/3F666D72-A2DA-4BC4-A8A3-B644D93E066A	34,80633926	67,82144928	75	Police patrol clashes with Afghan army checkpoint	17.09.2005 17:46	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
779B82DE-2219-0B3F-9F9EA9D601D539A9	http://www.guardian.co.uk/world/afghanistan/warlogs/779B82DE-2219-0B3F-9F9EA9D601D539A9	34,34500122	62,19971848	160	Taliban commanders claimed to be gathering in Iran to plan future attacks	18.09.2005 00:00	Threat Report	Other	Other	ENEMY	RED
A1405C26-F867-4CEF-A47E-955C0DEB4B66	http://www.guardian.co.uk/world/afghanistan/warlogs/A1405C26-F867-4CEF-A47E-955C0DEB4B66	33,38805008	69,37438202	221	Rocks thrown at police for allowing multiple votes	18.09.2005 05:42	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
642A24DB-CBFA-4697-9194-75291EB39955	http://www.guardian.co.uk/world/afghanistan/warlogs/642A24DB-CBFA-4697-9194-75291EB39955	32,65179062	66,79988098	125	"Army troops fight each other ""due to miscommunication"""	18.09.2005 06:37	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
555B3FE0-1D32-49CC-A051-262C8D9F008B	http://www.guardian.co.uk/world/afghanistan/warlogs/555B3FE0-1D32-49CC-A051-262C8D9F008B	32,65896988	69,20794678	108	Afghans fire rocket grenades at each other	21.09.2005 13:51	Friendly Fire	GREEN-GREEN	Afghan friendly fire	FRIEND	BLUE
